ID,AUTORE,ULAN,SPECIFICHE-AUTORE,SCUOLA,AUTORE-MOTIVAZIONE,ALTRO-AUTORE-1,ALTRO-AUTORE-1-ULAN,ALTRO-AUTORE-1-SPECIFICHE-AUTORE,ALTRO-AUTORE-1-SCUOLA,ALTRO-AUTORE-1-MOTIVAZIONE,ALTRO-AUTORE-2,ALTRO-AUTORE-2-ULAN,ALTRO-AUTORE-2-SPECIFICHE-AUTORE,ALTRO-AUTORE-2-SCUOLA,ALTRO-AUTORE-2-MOTIVAZIONE,ALTRO-AUTORE-3,ALTRO-AUTORE-3-ULAN,ALTRO-AUTORE-3-SPECIFICHE-AUTORE,ALTRO-AUTORE-3-SCUOLA,ALTRO-AUTORE-3-MOTIVAZIONE,OGGETTO-DEFINIZIONE,OGGETTO-ID,SOGGETTO,DENOMINAZIONE,TECNICA,LAVORAZIONE,DIMENSIONI,LOC0-PROV,LOC0-CITTA,LOC0-GEONAMES,LOC0-LAT,LOC0-LONG,LOC0-CONT,LOC0-CONT-SPECIFICHE,ORIGINALE-BOOL,LOC1-TYPE,LOC1-PROV,LOC1-CITTA,LOC1-GEONAMES,LOC1-CONT,LOC1-CONT-SPECIFICHE,LOC1-DATE,LOC2-TYPE,LOC2-PROV,LOC2-CITTA,LOC2-GEONAMES,LOC2-CONT,LOC2-CONT-SPECIFICHE,LOC2-DATE,DATA-FROM,DATA-TO,RELAZIONE,BIBLIOGRAFIA-GENERALE
11,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Busto,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
12,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Busto,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
13,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Busto,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
14,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Braccio,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
15,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Braccio,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
16,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Piede,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
17,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Ala,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
18,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Tamburello,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
19,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Panneggio,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
20,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Panneggio,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
21,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Panneggio,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
22,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Panneggio,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
23,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,<i>Catalogazione non disponibile</i>,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
24,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,<i>Catalogazione non disponibile</i>,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
25,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,<i>Catalogazione non disponibile</i>,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
26,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,,Evangelista,,modellazione,policromia perduta," 29x42,5 cm",,,,,,Collezione privata,,,P,CR,Casaletto Ceredano,https://www.geonames.org/9032588/passarera-corte.html,Chiesa Parrocchiale di San Girolamo,su un pilastro del portico di una casa colonica sul retro della chiesa.,1933,,,,,,,,1455,1465,,"M2; AM1, 143; AM3, 73"
27,Maestro degli angeli cantori; Giovanni de Fondulis,1; 2,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (M1),,,,,,,,,,,,,,,,statua,,Madonna col Bambino,,modellazione,policromia perduta,da verificare,CR,Credera Rubbiano,https://www.geonames.org/6542168/credera-rubbiano.html,45.30327,9.65606,Chiesa di Santa Maria Maddalena Penitente,facciata,,,,,,,,,,,,,,,,1450,1468,,"AM3 74-75; M1, 146-147"
28,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (M1),,,,,,,,,,,,,,,,rilievo,,Madonna col Bambino,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Collezione privata,,,,,,,,,,,,,,,,,1450,1465,,"M1, 51"
29,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM3),,,,,,,,,,,,,,,,statua,,Santa Lucia,,modellazione,policroma, 143x68x30 cm,CR,Madignano,https://www.geonames.org/6540641/madignano.html,45.34567,9.72326,Chiesa di San Pietro in Vincoli,"in una nicchia nella cappella nord della quinta
campata",,,,,,,,,,,,,,,,1450,1465,,AM3 70-71
30,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,,,,,,,,,,,statua,,testa femminile,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,in una nicchia della facciata,,,,,,,,,,,,,,,,1513,1513,,"AP3, 50"
31,Anonimo cremasco,,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),,,,,,,,,,,formella architettonica,serie,testa di cherubino,,stampo,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,,,,,,,,,,,,,,,1460,1480,,"AP1, 72; M3, 154; AM1, 140-141 "
32,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,,,,,,,,,,,busto,elemento d'insieme,San Girolamo,,modellazione,policromia perduta," 58,5x41 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Santuario di Santa Maria della Croce,In un pennacchio della cupola dell’altare maggiore,O,,,,,,,,,,,,,,,1490,1500,quattro terracotte raffiguranti i dottori della chiesa attribuite ad Agostino de Fondulis del santuario di Santa Maria della Croce,"AP3, 56 nota 51"
33,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,,,,,,,,,,,busto,elemento d'insieme,San Gregorio Magno,,modellazione,policromia perduta, 60x43 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Santuario di Santa Maria della Croce,In un pennacchio della cupola dell’altare maggiore,O,,,,,,,,,,,,,,,1490,1500,quattro terracotte raffiguranti i dottori della chiesa attribuite ad Agostino de Fondulis del santuario di Santa Maria della Croce,"AP3, 56 nota 51"
34,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,,,,,,,,,,,busto,elemento d'insieme,Sant'Agostino,,modellazione,policromia perduta, 61x43 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Santuario di Santa Maria della Croce,In un pennacchio della cupola dell’altare maggiore,O,,,,,,,,,,,,,,,1490,1500,quattro terracotte raffiguranti i dottori della chiesa attribuite ad Agostino de Fondulis del santuario di Santa Maria della Croce,"AP3, 56 nota 51"
35,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,,,,,,,,,,,busto,elemento d'insieme,Sant'Ambrogio,,modellazione,policromia perduta," 58,5x40 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Santuario di Santa Maria della Croce,In un pennacchio della cupola dell’altare maggiore,O,,,,,,,,,,,,,,,1490,1500,quattro terracotte raffiguranti i dottori della chiesa attribuite ad Agostino de Fondulis del santuario di Santa Maria della Croce,"AP3, 56 nota 51"
36,Anonimo lombardo,,,"Scuola italiana, scuola lombarda",Analisi stilistica,,,,,,,,,,,,,,,,rilievo,,San Pietro?,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Collezione privata,,,,,,,,,,,,,,,,,1450,1465,,inedito
37,Anonimo lombardo,,,"Scuola italiana, scuola lombarda",Analisi stilistica,,,,,,,,,,,,,,,,rilievo,,Frate,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Collezione privata,,,,,,,,,,,,,,,,,1450,1465,,inedito
38,Rinaldo de Staulis,3,?,"Scuola italiana, scuola lombarda, scuola cremonese",Analisi stilistica,Anonimo lombardo,,,"Scuola italiana, scuola lombarda",Bibliografia (M4),,,,,,,,,,,formella architettonica,serie,Angelo musicante,,stampo,policromia perduta, 30x15 cm,CR,Cremona,https://www.geonames.org/3177838/cremona.html,45.13325,10.02129,Museo Civico Ala Ponzone,,,,,,,,,,,,,,,,,1450,1470,,"M9, 8; M4"
39,Anonimo cremasco,,,"Scuola italiana, scuola lombarda, scuola cremasca",Analisi stilistica,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Catalogazione SIRBeC,,,,,,,,,,,testa,,Testa di monaco,,modellazione,policromia perduta, 24x15x24 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,,P,Crema,https://www.geonames.org/3177841/crema.html,Istituto delle Monache Canossiane,,1970,,,,,,,,1450,1460,,"AM1, 134"
40,Giovanni da Roma,4,?,"Scuola italiana, scuola lombarda, scuola cremonese",Bibliografia (M4),Rinaldo de Staulis,3,bottega,"Scuola italiana, scuola lombarda, scuola cremonese",Bibliografia (M4),,,,,,,,,,,rilievo,serie,Madonna col Bambino e angeli reggicortina,Madonna del latte,stampo,policromia perduta,,CR,Cremona,https://www.geonames.org/3177838/cremona.html,45.13325,10.02129,Museo Civico Ala Ponzone,,,,,,,,,,,,,,,,,1443,1450,,"M4, 32; AP4,   21-29"
41,Maestro della Madonna del topo,5,,"Scuola italiana, scuola lombarda",Bibliografia (AM4),,,,,,,,,,,,,,,,statua,,Madonna col Bambino,Madonna del Binengo,modellazione,policroma,da verificare,CR,Sergnano,https://www.geonames.org/3166708/sergnano.html,45.42755,9.70122,Santuario di Santa Maria del Binengo,sull'altare maggiore,O,,,,,,,,,,,,,,,1460,1470,,"AM4, 64"
42,Elia della Marra,6,?,"Scuola italiana, scuola lombarda, scuola mantovana",Analisi stilistica,Maestro della Madonna del Topo,5,,"Scuola italiana, scuola lombarda",Bibliografia (AP5),,,,,,,,,,,rilievo,,Crocefissione,,modellazione,policroma, 62x43 cm,CR,Cremona,https://www.geonames.org/3177838/cremona.html,45.13325,10.02129,Museo Civico Ala Ponzone,,,,,,,,,,,,,,,,,1460,1470,,"M4, 23; AP5, 60"
43,Anonimo dell'Italia settentrionale [Luca della Robbia],http://vocab.getty.edu/page/ulan/500009618,,"Scuola italiana, scuola toscana, scuola fiorentina",Bibliografia (AM5),Rinaldo de Staulis,3,bottega,"Scuola italiana, scuola lombarda, scuola cremonese",Bibliografia (M4),,,,,,,,,,,rilievo,serie,Madonna col Bambino,Madonna del tipo 'Corsini',stampo,policromia perduta, 30 x 21 cm,CR,Cremona,https://www.geonames.org/3177838/cremona.html,45.13325,10.02129,Museo Civico Ala Ponzone,,,,,,,,,,,,,,,,,1460,1500,,"M4, 33; AM5, 343-344"
44,Sperandio Savelli,http://vocab.getty.edu/page/ulan/500009228,,"Scuola italiana, scuola lombarda, scuola mantovana",Bibliografia (AP6),Giovanni de Fondulis,2,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM4),,,,,,,,,,,statua,,Madonna col Bambino,Madonna della rondine,modellazione,policromia perduta," 92,5x63x45,5 cm",CR,Castelleone,https://www.geonames.org/3179636/castelleone.html,45.29579,9.76091,Chiesa di Santa Maria in Bressanoro,,O,,,,,,,,,,,,,,,1457,1466,,"AM4, 63; AP6, 63-64"
45,Elia della Marra,6,?,"Scuola italiana, scuola lombarda, scuola mantovana",Analisi stilistica,,,,,,,,,,,,,,,,altare,,Polittico dell'Annunciazione,,modellazione,policromia perduta, 300 x 400 cm,CR,Casalmaggiore,https://www.geonames.org/3180177/casalmaggiore.html,44.98981,10.42055,Chiesa di San Francesco,sul fondo del presbiterio,O,,,,,,,,,,,,,,,1470,1480,,"M5, 84"
46,Anonimo lombardo,,,"Scuola italiana, scuola lombarda",Bibliografia (M6),,,,,,,,,,,,,,,,rilievo,,Madonna col Bambino,,modellazione,policroma,da verificare,CR,Casalmaggiore,https://www.geonames.org/3180177/casalmaggiore.html,44.98981,10.42055,Chiesa di Santo Stefano,cripta,,,,,,,,,,,,,,,,1470,1490,,"M6, 102"
