ID,NOME AUTORE,URL ULAN O ID AUTORE NON ULAN,RIF. AUTORE,AMBITO CULTURALE,MOTIVAZIONE ATTRIBUZIONE,ALTRE ATTRIBUZIONI: NOME,ALTRE ATTRIBUZIONI: URL ULAN O ID NON ULAN,ALTRE ATTRIBUZIONI: RIF. AUTORE,ALTRE ATTRIBUZIONI: AMBITO CULTURALE,ALTRE ATTRIBUZIONI: MOTIVAZIONE ATTRIBUZIONE,OGGETTO DEFINIZIONE,OGGETTO IDENTIFICAZIONE,OGGETTO CATEGORIA,SOGGETTO,DENOMINAZIONE TRADIZIONALE,TECNICA,LAVORAZIONE,DESCRIZIONE,MISURE,LOCALIZZAZIONE PROVINCIA,LOCALIZZAZIONE COMUNE,URL GEONAMES,LUOGO CONTENITORE,LOCALIZZAZIONE SPECIFICA,LOCALIZZAZIONI PRECEDENTI: TIPO,LOCALIZZAZIONI PRECEDENTI: PROVINCIA,LOCALIZZAZIONI PRECEDENTI: COMUNE,LOCALIZZAZIONI PRECEDENTI: URL GEONAMES,LOCALIZZAZIONI PRECEDENTI: CONTENITORE,LOCALIZZAZIONI PRECEDENTI: SPECIFICA,LOCALIZZAZIONI PRECEDENTI: CRONOLOGIA,COMMISSIONE,DATAZIONE DA,DATAZIONE A,NOTIZIE STORICO CRITICHE,STATO DI CONSERVAZIONE,RESTAURI,OGGETTI IN RELAZIONE,BIBLIOGRAFIA
25,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,frammento,elemento d’insieme,opera a tutto tondo,,,terracotta modellata,policroma,,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,Parco Chiappa,portico settentrionale della villa,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950 circa,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. Alcuni dei pezzi furono poi depositati presso il museo, altri, come questo, finirono invece nella raccolta di Ugo Chiappa che li murò nel portico di casa sua.
Si tratta con ogni probabilità dei resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
26,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,rilievo,,rilievo,Evangelista,,terracotta modellata,policroma,Il rilievo mostra un santo seduto che trattiene un libro aperto,"cm 29x42,5",,,,Collezione privata,,P,CR,Casaletto Ceredano,https://www.geonames.org/9032588/passarera-corte.html,Chiesa Parrocchiale di San Girolamo,su un pilastro del portico di una casa colonica sul retro della chiesa.,ante 1933,,1455,1465,"Il rilievo, oggi in collezione privata, era in precedenza collocato sul pilastro del portico di una casa colonica sul retro della chiesa parrocchiale di Passarera (abitato già di pertinenza dell'abbazia di Cerreto). Maria Verga Bandirali ha proposto di identificare la figura con San Girolamo e ha ritenuto l'autore della terracotta lo stesso che ha plasmato quella ancora sulla facciata della chiesa di Passarera. Paola Bosio e Alessandro Barbieri hanno invece riferito il rilievo al Maestro degli Angeli Cantori. Quest'ultimo potrebbe essere identificato con lo scultore Fondulino de Fondulis",La terracotta ha perduto quasi totalmente la policromia,,,"M2; AM1, 143; AM3, 73"
27,Maestro degli angeli cantori; Giovanni de Fondulis,1; 2,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (M1),,,,,,statua,,opera a tutto tondo,Madonna col Bambino,,terracotta modellata,,La statua raffigura una Madonna col Bambino in trono,da verificare,CR,Credera Rubbiano,https://www.geonames.org/6542168/credera-rubbiano.html,Chiesa di Santa Maria Maddalena Penitente,facciata,,,,,,,,,1450,1468,"Ritenuta da Matteo Facchi ed Aldo Galli un precoce riverbero in patria dello stile di Giovanni de Fondulis ormai trasferitosi a Padova, potrebbe essere invece una delle prime prove dello scultore cremasco ancora in collaborazione con il Maestro degli angeli cantori (Fondulino de Fondulis?). Non si conosce la provenienza dell'opera, ma è bene ricordare che i territori di Credera appartenevano agli agostiniani di Crema con cui i de Fondulis intrattennero importanti relazioni",La terracotta ha perduto quasi totalmente la policromia,,,"AM3 74-75; M1, 146-147"
28,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (M1),,,,,,rilievo,,rilievo,Madonna col Bambino,,terracotta modellata,,Il rilievo frammentario raffigura una Madonna col Bambino assisa in trono. Entrambi i personaggi sono acefali ,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,Collezione privata,,,,,,,,,,1450,1465,Riferita da Marco Scansani al Maestro degli angeli cantori (Fondulino de Fondulis?),La terracotta ha perduto quasi totalmente la policromia,,,"M1, 51"
29,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM3),,,,,,statua,,opera a tutto tondo,Santa Lucia,,terracotta modellata,policroma,La statua raffigura una Santa Lucia,cm 143x68x30,CR,Madignano,https://www.geonames.org/6540641/madignano.html,Chiesa di San Pietro in Vincoli,"in una nicchia nella cappella nord della quinta
campata",,,,,,,,,1450,1465,"L'opera è stata riferita da Matteo Facchi e Aldo Galli al Maestro degli Angeli Cantori (Fondulino de Fondulis?) ipotizzando una possibile provenienza dall'altare di Santa Lucia del Duomo di Crema, dove effettivamente almeno fino  al 1638 era effettivamente documentata una figura in terracotta della Santa",La terracotta è in buono stato di conservazione,Nel 2004 è stata sottoposta a un restauro,,AM3 70-71
30,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,frammento,,opera a tutto tondo,testa femminile,,terracotta modellata,,Il frammento mostra una testa femminile,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,Parco Chiappa,in una nicchia della facciata,,,,,,,,,1513,1513,Secondo Paola Bosio potrebbe trattarsi di una porzione delle integrazioni realizzate da Agostino de Fondulis nel 1513 per restaurare l'altare di San Marco nel Duomo di Crema. Murati nella villa di Ugo Chiappa sono infatti presenti numerosi frammenti provenienti dalla struttura.,La terracotta ha perduto quasi totalmente la policromia,,,"AP3, 50"
31,Scultore cremasco,,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),formella architettonica,serie,rilievo,testa di cherubino,,terracotta a stampo,policroma,cinque frammenti di elementi di forma arcuata con testine di putti e cherubini scavati sul retro e realizzati a stampo,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,,,,,,,,,1460,1480,"Maria Verga Bandirali ha pubblicato queste teste di cherubini come porzioni dell'altare di San Marco nel Duomo di Crema reintegrato da Agostino de Fondulis nel 1513. Come hanno però notato prima Sandrina Bandera e poi Paola Bosio e Alessandro Barbieri questi rilievi, malgrado la complessità della matrice, risultano di basso livello qualitativo e sono da considerarsi completamente estranei all'altare",La terracotta ha perduto quasi totalmente la policromia,,,"AP1, 72; M3, 154; AM1, 140-141 "
32,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,busto,elemento d'insieme,rilievo,San Girolamo,,terracotta modellata,,"La terracotta mostra San Girolamo, barbuto e con cappello cardinalizio, intento a leggere","cm 58,5x41",CR,Crema,https://www.geonames.org/3177841/crema.html,Santuario di Santa Maria della Croce,In un pennacchio della cupola dell’altare maggiore,,,,,,,,,1490,1500,"Il busto, insieme agli altri quattro Dottori della Chiesa ha una collocazione molto elevata ed è dunque difficilmente giudicabile. Lo stile ricorda quello di Giovanni de Fondulis, ma la modellazione potrebbe spettare al figlio da poco rientrato in patria dopo l'esperienza padovana. Il cantiere del Santuario fu inizialmente affidato a Giovanni Battagio, suocero di Agostino de Fondulis e come ricorda Paola Bosio il contratto del 1490 prevedeva la collocazione di otto busti di santi nel fregio della trabeazione.",La terracotta ha perduto quasi totalmente la policromia,,quattro terracotte raffiguranti i dottori della chiesa attribuite ad Agostino de Fondulis del santuario di Santa Maria della Croce,"AP3, 56 nota 51"
33,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,busto,elemento d'insieme,rilievo,San Gregorio Magno,,terracotta modellata,,"La terracotta mostra San Gregorio Magno con la mitria, un libro nella mano sinistra e la mano destra – mutila – forse intenta a benedire",cm 60x43,CR,Crema,https://www.geonames.org/3177841/crema.html,Santuario di Santa Maria della Croce,In un pennacchio della cupola dell’altare maggiore,,,,,,,,,1490,1500,"Il busto, insieme agli altri quattro Dottori della Chiesa ha una collocazione molto elevata ed è dunque difficilmente giudicabile. Lo stile ricorda quello di Giovanni de Fondulis, ma la modellazione potrebbe spettare al figlio da poco rientrato in patria dopo l'esperienza padovana. Il cantiere del Santuario fu inizialmente affidato a Giovanni Battagio, suocero di Agostino de Fondulis e come ricorda Paola Bosio il contratto del 1490 prevedeva la collocazione di otto busti di santi nel fregio della trabeazione.",La terracotta ha perduto quasi totalmente la policromia,,quattro terracotte raffiguranti i dottori della chiesa attribuite ad Agostino de Fondulis del santuario di Santa Maria della Croce,"AP3, 56 nota 51"
34,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,busto,elemento d'insieme,rilievo,Sant'Agostino,,terracotta modellata,,La terracotta mostra Sant'agostino barbuto con la mitria,cm 61x43,CR,Crema,https://www.geonames.org/3177841/crema.html,Santuario di Santa Maria della Croce,In un pennacchio della cupola dell’altare maggiore,,,,,,,,,1490,1500,"Il busto, insieme agli altri quattro Dottori della Chiesa ha una collocazione molto elevata ed è dunque difficilmente giudicabile. Lo stile ricorda quello di Giovanni de Fondulis, ma la modellazione potrebbe spettare al figlio da poco rientrato in patria dopo l'esperienza padovana. Il cantiere del Santuario fu inizialmente affidato a Giovanni Battagio, suocero di Agostino de Fondulis e come ricorda Paola Bosio il contratto del 1490 prevedeva la collocazione di otto busti di santi nel fregio della trabeazione.",La terracotta ha perduto quasi totalmente la policromia,,quattro terracotte raffiguranti i dottori della chiesa attribuite ad Agostino de Fondulis del santuario di Santa Maria della Croce,"AP3, 56 nota 51"
35,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,?,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP3),,,,,,busto,elemento d'insieme,rilievo,Sant'Ambrogio,,terracotta modellata,,"La terracotta mostra Sant'Ambrogio barbuto con la mitria, che si rivolge verso destra","cm 58,5x40",CR,Crema,https://www.geonames.org/3177841/crema.html,Santuario di Santa Maria della Croce,In un pennacchio della cupola dell’altare maggiore,,,,,,,,,1490,1500,"Il busto, insieme agli altri quattro Dottori della Chiesa ha una collocazione molto elevata ed è dunque difficilmente giudicabile. Lo stile ricorda quello di Giovanni de Fondulis, ma la modellazione potrebbe spettare al figlio da poco rientrato in patria dopo l'esperienza padovana. Il cantiere del Santuario fu inizialmente affidato a Giovanni Battagio, suocero di Agostino de Fondulis e come ricorda Paola Bosio il contratto del 1490 prevedeva la collocazione di otto busti di santi nel fregio della trabeazione.",La terracotta ha perduto quasi totalmente la policromia,,quattro terracotte raffiguranti i dottori della chiesa attribuite ad Agostino de Fondulis del santuario di Santa Maria della Croce,"AP3, 56 nota 51"
36,Scultore lombardo,,,"Scuola italiana, scuola lombarda",,,,,,,rilievo,,rilievo,San Pietro?,,terracotta modellata,,La terracotta mostra San Pietro che trattiene con la mano destra le chiavi e con la sinistra un libro. La figura è tagliata all'altezza della vita,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,Collezione privata,,,,,,,,,,1450,1465,"sul retro del rilievo è applicata un'etichetta che riporta ""avuta nel 1969 dal Prof S. Morandi""",La terracotta ha perduto quasi totalmente la policromia,,,inedito
37,Scultore lombardo,,,"Scuola italiana, scuola lombarda",,,,,,,rilievo,,rilievo,Frate,,terracotta modellata,,La terracotta mostra un frate incappucciato che con la mano sinistra trattiene un libro e con la destra un oggetto non riconoscibile. La figura è tagliata all'altezza della vita,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,Collezione privata,,,,,,,,,,1450,1465,,La terracotta ha perduto quasi totalmente la policromia,,,inedito
38,Rinaldo de Staulis,3,?,"Scuola italiana, scuola lombarda, scuola cremonese",,Scultore lombardo,,,"Scuola italiana, scuola lombarda",Bibliografia (M4),formella architettonica,serie,rilievo,Angelo musicante,,terracotta a stampo,,La terracotta mostra un angelo riccioluto con la testa rivolta verso destra e le ali spiegate verso l'alto intento a suonare un liuto,cm 30x15,CR,Cremona,https://www.geonames.org/3177838/cremona.html,Museo Civico Ala Ponzone,,,,,,,,,,1450,1470,"Di questo rilievo seriale riferito da Alfredo Puerari a un anonimo scultore lombardo della prima metà del XV secolo si conservano due esemplari al Museo Civico Ala Ponzone di Cremona e uno in una collezione privata cremasca (sul cui retro è applicata un'etichetta che riporta ""da Mons. Lucchi Seregnano '68""). La serie decorativa era completata da altre formelle frutto di un'altra matrice simile",,,,"M9, 8; M4"
39,Scultore cremasco,,,"Scuola italiana, scuola lombarda, scuola cremasca",,Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Catalogazione SIRBeC,testa,,opera a tutto tondo,Testa di monaco,,terracotta modellata,policroma,La terracotta mostra la testa di un monaco tonsurato,cm 24x15x24,CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,,P,Crema,https://www.geonames.org/3177841/crema.html,Istituto delle Monache Canossiane,,ante 1970,,1450,1460,"La scultura, donata al Museo nel 1970 dal Museo delle Monache Canossiane di Crema è stata riferita da Annunziata Miscioscia ad Agostino de Fondulis con una datazione all'ultimo decennio del Quattrocento. Potrebbe però trattarsi dei un'opera ben più antica",La terracotta mostra ampie ridipinture,,,"AM1, 134"
40,Giovanni da Roma,4,?,"Scuola italiana, scuola lombarda, scuola cremonese",Bibliografia (M4),Rinaldo de Staulis,3,bottega,"Scuola italiana, scuola lombarda, scuola cremonese",Bibliografia (M4),rilievo,serie,rilievo,Madonna col Bambino e angeli reggicortina,Madonna del latte,terracotta a stampo,policroma,"Il rilievo mostra una Madonna a mezza figura che allatta il Bambino mentre due angeli, dietro di lei, reggono una cortina",,CR,Cremona,https://www.geonames.org/3177838/cremona.html,Museo Civico Ala Ponzone,,,,,,,,,,1443,1450,"La scultura è stata accostata per la prima volta a Giovanni da Roma da Alfredo Puerari. È una delle prime terrecotte a stampo del Quattrocento lombardo. Considerato l'elevato numero di repliche nel Cremonese è assai probabile una sua origine da quei territori. Luca Torelli ha individuato diciotto esemplari con lievi variazioni: 1)        Bamberga, Franke kunsthandel, cm 31,8x26 (conserva la policromia e mostra un ottimo modellato, è forse derivata da quella del Museo Civico Ala Ponzone
2)        Budapest, Szépművészeti Múzeum, cm 29,5x24,5 (vicina all’esemplare milanese, mostra residui di una colorazione moderna)
3)        Cremona, Museo Civico Ala Ponzone, inv. G, 1, n. 5, cm 34x28 (ottimo modellato e grandi dimensioni)
4)        Cremona, Museo Civico Ala Ponzone, inv. G, 1, n. 6, cm 26x21,5 (conserva parte della cromia, il modellato è semplificato, si tratta forse di una derivazione tarda)
5)        Cremona, Museo Civico Ala Ponzone, inv. G, 1, n. 288, cm 30,5 × 24,7 (il modellato è semplificato, una frattura interessa i volti della Vergine e del Bambino)
6)        Cremona, Museo Civico Ala Ponzone inv. G, 1, n. 367, cm 25x22 (si conserva in maniera frammentaria
7)        Cremona, piazzetta Antonella, 1, cm 29x25,5 (i volti degli angeli e del Bambino sono dilavati)
8)        Cremona, via Bissolati, 84, cm 27,5x24 (in cattivo stato di conservazione)
9)        Cremona, via Capellana, 9, cm 30x26 (forse inclusa fin dall’origine nelle decorazioni del palazzo quattrocentesco
10)        Marsiglia, Musée des Beaux-Arts, cm 30x24 (presenta una colorazione scura ed è forse derivata da quella del Museo Civico Ala Ponzone)
11)        Milano, Museo d’Arte Antica del Castello Sforzesco, inv. 1654, cm 31x26 (uno degli esemplari migliori della serie)
12)        Mosca, Museo Pušhkin (già Berlino, kaiser Friedrich Museum), cm 26,7 × 21 (in stato frammentario)
13)        Piacenza, chiesa di Santa Maria in Cortina, cm 29,3x25,5 (sono presenti ridipinture e un fregio punzonato ‘a perline’ lungo il perimetro)
14)        Torino, collezione privata, cm 34,3x29,3 (conserva la cromia e presenta un ottimo modellato)
15)        Venezia, Palazzo Corner Mocenigo (frammentaria e con tracce di cromia bianca)
16)        Viadana, Museo Parazzi, cm 25x21,5 (invetriata e datata 1587)
17)        Vigevano, Museo della Confraternita della Morte, chiesa di Santa Maria della Neve, cm 27x22 (ricorda nel modellato gli esemplari di Milano, Budapest e Mosca)
18)        Già Firenze, collezione Elia Volpi, cm 31x27 (presenta un ottimo modellato e un fregio punzonato ‘a perline’ lungo il perimetro",,,,"M4, 32; AP4,   21-29"
41,Maestro della Madonna del topo,5,,"Scuola italiana, scuola lombarda",Bibliografia (AM4),,,,,,statua,,opera a tutto tondo,Madonna col Bambino,Madonna del Binengo,terracotta modellata,policroma,"La terracotta raffigura una Madonna col Bambino assisa in trono mentre regge con la mano destra un libro. L'infante trattiene invece un piccolo uccello. Alla base della statua è presente l'iscrizione ""AVE MARIA GRATIA PLENA""",da verificare,CR,Sergnano,https://www.geonames.org/3166708/sergnano.html,Santuario di Santa Maria del Binengo,sull'altare maggiore,,,,,,,,,1460,1470,La scultura è stata riferita al Maestro della Madonna del Topo da Paola Bosio in seguito a una segnalazione di Matteo Facchi. Secondo la tradizione popolare l'opera fu rinvenuta su una sponda del fiume Serio tra Seregnano e Pianengo.,La terracotta è in buono stato di conservazione e presenta una policromia moderna,,,"AM4, 64"
42,Elia della Marra,6,?,"Scuola italiana, scuola lombarda, scuola mantovana",,Maestro della Madonna del Topo,5,,"Scuola italiana, scuola lombarda",Bibliografia (AP5),rilievo,,rilievo,Crocefissione,,terracotta modellata,policroma,"Il rilievo mostra al centro Cristo crocefisso, alla sua destra e alla sua sinistra ci sono rispettivamente la Vergine e San Giovanni Battista Dolenti. Lo sfondo della composizione è caratterizzato da un motivo decorativo a rombi contenenti rosette",cm 62x43,CR,Cremona,https://www.geonames.org/3177838/cremona.html,Museo Civico Ala Ponzone,,,,,,,,,,1460,1470,"La scultura è stata riferita al Maestro della Madonna del Topo da Paola Bosio, ma la composizione e le decorazioni paiono confrontabili con alcuni tabernacoli mantovani ascrivibili ad Elia della Marra",Sono presenti diverse rotture: la testa e il perizoma del Cristo sono andati perduti. La cromia sopravvive solo in alcune porzioni,,,"M4, 23; AP5, 60"
43,Luca della Robbia,http://vocab.getty.edu/page/ulan/500009618,Da,"Scuola italiana, scuola toscana, scuola fiorentina",Bibliografia (AM5),Rinaldo de Staulis,3,bottega,"Scuola italiana, scuola lombarda, scuola cremonese",Bibliografia (M4),rilievo,serie,rilievo,Madonna col Bambino,Madonna del tipo 'Corsini',terracotta a stampo,,Il rilievo mostra una Madonna che tiene in braccio il Bambino,cm 30 x 21,CR,Cremona,https://www.geonames.org/3177838/cremona.html,Museo Civico Ala Ponzone,,,,,,,,,,1460,1500,"L'opera è stata riconosciuta come derivazione dalla Madonna del tipo 'Corsini' di Luca della Robbia da Kendra Trombini su segnalazione di Aldo Galli. Si tratta di un modello toscano elaborato attorno al 1440 da cui furono tratte per lungo tempo numerose derivazioni marmoree e stampi in terracotta anche in area padana. Al Museo Civico Ala Ponzone di Cremona si conserva addirittura la porzione di una matrice per questi stampi. Gli esemplari fittili nel nord Italia sono:                                   1)        Cremona, Museo Civico Ala Ponzone (frammentaria, di formato quadrangolare)
2)        Cremona, Museo Civico Ala Ponzone (frammentaria, di formato quadrangolare, con un cherubino alla base)
3)        Cremona, via Cerasa (di formato quadrangolare, molto dilavata, con un cherubino alla base e angeli reggi cortina ai lati della Vergine)
4)        Mozzanica (BG), chiesa parrocchiale di Santo Stefano
5)        Carpi, Palazzo Pio (di formato quadrangolare, policroma, con una mezzaluna alla base)
6)        Mantova, Corso Garibaldi 34 (di formato quadrangolare, priva della cromia e con una mezzaluna alla base)
7)        Mantova, Vicolo San Longino 32 (di formato ovale, policroma e con un cherubino alla base)
8)        San Benedetto Po (MN), Museo Civico Polironiano (di formato quadrangolare, con tracce di cromia e con un cherubino alla base)
9)        San Benedetto Po (MN), Museo Civico Polironiano (di formato ovale, con tracce di cromia e con un cherubino alla base)
10)        San Benedetto Po (MN), Museo Civico Polironiano (frammentaria, di formato quadrangolare, con un cherubino alla base)
11)        San Benedetto Po (MN), Museo Civico Polironiano (frammentaria, di formato quadrangolare, con policromia moderna e con cherubino alla base
12)        Suzzara (MN), Via Piave 5 (di formato quadrangolare, policroma, con cherubino alla base)
13)        Pavia, Museo Civico (di formato quadrangolare, con un cherubino alla base)
14)        Brescia, Museo di Santa Giulia (di formato quadrangolare, con un cherubino alla base)
15)        Verona, Museo Archeologico
",,,,"M4, 33; AM5, 343-344"
44,Sperandio Savelli,http://vocab.getty.edu/page/ulan/500009228,,"Scuola italiana, scuola lombarda, scuola mantovana",Bibliografia (AP6),Giovanni de Fondulis,2,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM4),statua,,opera a tutto tondo,Madonna col Bambino,Madonna della rondine,terracotta modellata,policroma,Il rilievo mostra una Madonna col Bambino assisa in trono. L'infante trattiene un piccolo uccello nella mano sinistra,"cm 92,5x63x45,5",CR,Castelleone,https://www.geonames.org/3179636/castelleone.html,Chiesa di Santa Maria in Bressanoro,,,,,,,,,,1457,1466,"L'opera, già riferita da Paola Bosio alla giovinezza di Giovanni de Fondulis, è stata attribuita a Sperandio Savelli da Marco Scansani",La terracotta presenta scarse tracce di cromia,Nel 2002 ha subito un restauro che ha rimosso la cromia e alcune integrazioni moderne tra cui la mano destra della Vergine e il braccio destro del Bambino,,"AM4, 63; AP6, 63-64"
45,Elia della Marra,6,,"Scuola italiana, scuola lombarda, scuola mantovana",,,,,,,altare,,apparato monumentale,Polittico dell'Annunciazione,,terracotta modellata,,"Il polittico è organizzato su due registri sovrapposti: in quello superiore è raffigurata l'Annunciazione, in quello inferiore la Madonna della Misericordia incoronata da due angeli che accoglie i devoti sotto il suo manto. Otto nicchie (quattro per lato) affiancano le due scene sovrapposte. Un trionfo di decorazioni all'antica (paraste con girali vegetali, architravi con ghirlande, colonnine tortili e absidi conchigliate) incorniciano le figure.",cm 300 x 400,CR,Casalmaggiore,https://www.geonames.org/3180177/casalmaggiore.html,Chiesa di San Francesco,sul fondo del presbiterio,,,,,,,,,1470,1480,"L'opera, un tempo collocata nella cappella dell'Annunciata, è stata gravemente deturpata durante la Seconda Guerra Mondiale (è possibile che alcuni elementi siano stati trafugati), si è così deciso di farla pesantemente reintegrare dallo scultore Guido Germani (che si è ispirato alle fotografie precedenti al conflitto). La composizione denuncia la compresenza di elementi ancora tardogotici (come la forma del trono della Vergine e la rigidità dei panneggi) e di influenze rinascimentali mantegnesche. Questo particolare stile può far pensare all'attività di Elia della Marra nei vicini territori mantovani",La terracotta è stata deturpata durante la seconda guerra mondiale e pesantemente reintegrata dallo scultore Guido Germani,,,"M5, 84"
46,Scultore lombardo,,,"Scuola italiana, scuola lombarda",Bibliografia (M6),,,,,,rilievo,,rilievo,Madonna col Bambino,,terracotta modellata,policroma,"La vergine, ritratta a mezzo busto, sostiene il Bambino eretto in piedi che con la mano destra benedice e con la sinistra trattiene un piccolo globo",da verificare,CR,Casalmaggiore,https://www.geonames.org/3180177/casalmaggiore.html,Chiesa di Santo Stefano,cripta,,,,,,,,,1470,1490,L'opera è stata probabilmente donata alla chiesa da Monsignor Stefano Bignami nel 1879. La critica ha proposto per la scultura un'origine cremonese e una datazione alla fine del Quattrocento,La terracotta è in buono stato di conservazione e mostra una cromia moderna,,,"M6, 102"
47,Scultore lombardo ,,,"Scuola italiana, scuola lombarda",Bibliografia (AM2),Giovanni da Roma; Rinaldo de Staulis,4; 3,,"Scuola italiana, scuola lombarda, scuola cremonese",,busto,,opera a tutto tondo,Madonna dolente,,terracotta modellata,,"La terracotta, che mostra il busto di una Vergine dolente, costituisce forse la porzione superstite di una Pietà. La figura ha una testa ammantata china sulla destra. L'orlo del velo dall'andamento calligrafico che ricade sul capo è decorato con l'iscrizione ripetuta 'MARIA', interrotta al centro, sopra la fronte dal monogramma 'YHS'",cm 29x39x19,CR,Cremona,https://www.geonames.org/3177838/cremona.html,Museo Civico Ala Ponzone,,P,CR,Cremona,https://www.geonames.org/3177838/cremona.html,Congregazione di Carità,,,,1460,1470,"La terracotta è stata riferita da Alfredo Puerari a Giovanni da Roma e Rinaldo de Staulis e confrontata con il San Bernardino e il San Pietro martire conservati nello stesso museo. A parere di Aldo Galli però la Dolente, seppur ugalmente caricata in senso espressivo, mostra rispetto alle altre due figure una concezione ancora gotica, soprattutto nel replicato affastellarsi degli orli",La terracottta ha perduto la policromia ma è in buono stato di conservazione,,,"M4, 31; AM2, 47"
48,Rinaldo de Staulis,3,,"Scuola italiana, scuola lombarda, scuola cremonese",Bibliografia (AP7),,,,,,statua,,opera a tutto tondo,Madonna col Bambino,,terracotta modellata,,La terracotta raffigura una Madonna coronata che tiene in braccio il Bambino,da verificare (cm 200),CR,Soncino,https://www.geonames.org/3166399/soncino.html,Rocca,in una nicchia del torrione sud-ovest,,,,,,,,,1453,1463,"La terracotta è stata riferita da Matteo Facchi a Rinaldo de Staulis in virtù di confronti con le sculture dei chiostri della Certosa di Pavia. L'opera, che mostra ancora stilemi tardogotici, potrebbe essere addirittura antecedente al cantiere pavese: cronologia che ben si accorda con gli anni di realizzazione del torrione di Soncino (1453-1463)",La terracotta è in cattivo stato di conservazione. Il Bambino è acefalo e ha perduto la mano sinistra,,,"M7, 108; AP7, 67"
